"Contractor_Name","Contractor_Details_URL","State_Local_Auth","Contract_Number","Phone","Location","Socio_Economic_Indicators","Contractor_TC_Price_List","View_Catalog"
"'APPS' CONSULTANTS INC., THE",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-434CA&contractorName=%27APPS%27+CONSULTANTS+INC.%2C+THE&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-434CA,3036533931,"CENTENNIAL ,CO",s/w/wo,https://www.gsaadvantage.gov/ref_text/GS35F434CA/GS35F434CA_online.htm,advRedirect.do?contract=GS-35F-434CA&sin=132+51&src=elib&app=cat
"1 SOURCE CONSULTING, INC.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-406AA&contractorName=1+SOURCE+CONSULTING%2C+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-406AA,301 916-0050,"GERMANTOWN ,MD",s/v/d,https://www.gsaadvantage.gov/ref_text/GS35F406AA/GS35F406AA_online.htm,advRedirect.do?contract=GS-35F-406AA&sin=132+51&src=elib&app=cat
"1800ADMIN, LLC",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-333DA&contractorName=1800ADMIN%2C+LLC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-333DA,512-508-9732,"ASHBURN ,VA",s/d/8a,https://www.gsaadvantage.gov/ref_text/GS35F333DA/GS35F333DA_online.htm,advRedirect.do?contract=GS-35F-333DA&sin=132+51&src=elib&app=cat
"1901 GROUP, LLC",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0617W&contractorName=1901+GROUP%2C+LLC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0617W,703-773-6240,"BLACKSBURG ,VA",s/h,https://www.gsaadvantage.gov/ref_text/GS35F0617W/GS35F0617W_online.htm,advRedirect.do?contract=GS-35F-0617W&sin=132+51&src=elib&app=cat
1ST ALL FILE RECOVERY USA,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-106AA&contractorName=1ST+ALL+FILE+RECOVERY+USA&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-106AA,800-882-8178,"SHAKER HEIGHTS ,OH",s,https://www.gsaadvantage.gov/ref_text/GS35F106AA/GS35F106AA_online.htm,advRedirect.do?contract=GS-35F-106AA&sin=132+51&src=elib&app=cat
"2020 COMPANY, LLC",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0345M&contractorName=2020+COMPANY%2C+LLC&executeQuery=YES,,GS-35F-0345M,7037205895,"FALLS CHURCH ,VA",o,https://www.gsaadvantage.gov/ref_text/GS35F0345M/GS35F0345M_online.htm,advRedirect.do?contract=GS-35F-0345M&sin=132+51&src=elib&app=cat
22ND CENTURY TECHNOLOGIES INC.,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0579T&contractorName=22ND+CENTURY+TECHNOLOGIES+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0579T,8005178408,"SOMERSET ,NJ",s/d/8a,https://www.gsaadvantage.gov/ref_text/GS35F0579T/GS35F0579T_online.htm,advRedirect.do?contract=GS-35F-0579T&sin=132+51&src=elib&app=cat
"24 HOUR DATA, LLC",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-020DA&contractorName=24+HOUR+DATA%2C+LLC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-020DA,866-598-3282,"PLANO ,TX",s,https://www.gsaadvantage.gov/ref_text/GS35F020DA/GS35F020DA_online.htm,advRedirect.do?contract=GS-35F-020DA&sin=132+51&src=elib&app=cat
"24X7SYSTEMS, INC.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-485CA&contractorName=24X7SYSTEMS%2C+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-485CA,404-229-7952,"ALPHARETTA ,GA",s/d/8a,https://www.gsaadvantage.gov/ref_text/GS35F485CA/GS35F485CA_online.htm,advRedirect.do?contract=GS-35F-485CA&sin=132+51&src=elib&app=cat
"270NET TECHNOLOGIES, INC. (DBA: 270NET TECHNOLOGIES)",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0719R&contractorName=270NET+TECHNOLOGIES%2C+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0719R,3016636000 X117,"FREDERICK ,MD",s/v,https://www.gsaadvantage.gov/ref_text/GS35F0719R/GS35F0719R_online.htm,advRedirect.do?contract=GS-35F-0719R&sin=132+51&src=elib&app=cat
2C4 TECHNOLOGIES INC.,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-507DA&contractorName=2C4+TECHNOLOGIES+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-507DA,210-461-8192,"SAN ANTONIO ,TX",s,https://www.gsaadvantage.gov/ref_text/GS35F507DA/GS35F507DA_online.htm,advRedirect.do?contract=GS-35F-507DA&sin=132+51&src=elib&app=cat
2NDWAVE LLC,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-403AA&contractorName=2NDWAVE+LLC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-403AA,202-741-0232,"WASHINGTON ,DC",s/dv/d/8a,https://www.gsaadvantage.gov/ref_text/GS35F403AA/GS35F403AA_online.htm,advRedirect.do?contract=GS-35F-403AA&sin=132+51&src=elib&app=cat
"2PIXELS, LLC",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-317CA&contractorName=2PIXELS%2C+LLC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-317CA,703-471-2807,"CHANTILLY ,VA",s/w/wo/ew/d,https://www.gsaadvantage.gov/ref_text/GS35F317CA/GS35F317CA_online.htm,advRedirect.do?contract=GS-35F-317CA&sin=132+51&src=elib&app=cat
"3D FITNESS, INC.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-267CA&contractorName=3D+FITNESS%2C+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-267CA,8665052073,"PATERSON ,NJ",s/w/wo/h,https://www.gsaadvantage.gov/ref_text/GS35F267CA/GS35F267CA_online.htm,advRedirect.do?contract=GS-35F-267CA&sin=132+51&src=elib&app=cat
"3DI, INC.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-291AA&contractorName=3DI%2C+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-291AA,7142571100,"BREA ,CA",s/d/8a,https://www.gsaadvantage.gov/ref_text/GS35F291AA/GS35F291AA_online.htm,advRedirect.do?contract=GS-35F-291AA&sin=132+51&src=elib&app=cat
"3E TECHNOLOGIES INTERNATIONAL, INC.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0380X&contractorName=3E+TECHNOLOGIES+INTERNATIONAL%2C+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0380X,301-670-6779,"ROCKVILLE ,MD",o,https://www.gsaadvantage.gov/ref_text/GS35F0380X/GS35F0380X_online.htm,advRedirect.do?contract=GS-35F-0380X&sin=132+51&src=elib&app=cat
3G FEDERAL SOLUTIONS LLC,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-412CA&contractorName=3G+FEDERAL+SOLUTIONS+LLC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-412CA,7034776586,"LEESBURG ,VA",s/d,https://www.gsaadvantage.gov/ref_text/GS35F412CA/GS35F412CA_online.htm,advRedirect.do?contract=GS-35F-412CA&sin=132+51&src=elib&app=cat
"3LINKS TECHNOLOGIES, INC",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0336V&contractorName=3LINKS+TECHNOLOGIES%2C+INC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0336V,(301)588-8292,"SILVER SPRING ,MD",s/dv/d/8a,https://www.gsaadvantage.gov/ref_text/GS35F0336V/GS35F0336V_online.htm,advRedirect.do?contract=GS-35F-0336V&sin=132+51&src=elib&app=cat
"3M COGENT, INC.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0763J&contractorName=3M+COGENT%2C+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0763J,(703) 483-4603,"PASADENA ,CA",o,https://www.gsaadvantage.gov/ref_text/GS35F0763J/GS35F0763J_online.htm,advRedirect.do?contract=GS-35F-0763J&sin=132+51&src=elib&app=cat
